pressure, temperature, density, viscosity, enthalpy, internal_energy
100000,458.838,960.455,0.000290546,406673,406569
100000,462.121,960.455,0.000290546,406673,406569
100000,465.404,960.455,0.000290546,406673,406569
100000,468.687,960.455,0.000290546,406673,406569
100000,471.97,960.455,0.000290546,406673,406569
100000,475.253,960.455,0.000290546,406673,406569
100000,478.535,960.455,0.000290546,406673,406569
100000,481.818,960.455,0.000290546,406673,406569
100000,485.101,960.455,0.000290546,406673,406569
100000,488.384,960.455,0.000290546,406673,406569
100000,491.667,960.455,0.000290546,406673,406569
100000,494.949,960.455,0.000290546,406673,406569
100000,498.232,960.455,0.000290546,406673,406569
100000,501.515,960.455,0.000290546,406673,406569
100000,504.798,960.455,0.000290546,406673,406569
100000,508.081,960.455,0.000290546,406673,406569
100000,511.364,960.455,0.000290546,406673,406569
100000,514.646,960.455,0.000290546,406673,406569
100000,517.929,960.455,0.000290546,406673,406569
100000,521.212,960.455,0.000290546,406673,406569
100000,524.495,960.455,0.000290546,406673,406569
100000,527.778,960.455,0.000290546,406673,406569
100000,531.061,960.455,0.000290546,406673,406569
100000,534.343,960.455,0.000290546,406673,406569
100000,537.626,960.455,0.000290546,406673,406569
100000,540.909,960.455,0.000290546,406673,406569
100000,544.192,960.455,0.000290546,406673,406569
100000,547.475,960.455,0.000290546,406673,406569
100000,550.758,960.455,0.000290546,406673,406569
100000,554.04,960.455,0.000290546,406673,406569
100000,557.323,960.455,0.000290546,406673,406569
100000,560.606,960.455,0.000290546,406673,406569
100000,563.889,960.455,0.000290546,406673,406569
100000,567.172,960.455,0.000290546,406673,406569
100000,570.455,960.455,0.000290546,406673,406569
100000,573.737,960.455,0.000290546,406673,406569
100000,577.02,960.455,0.000290546,406673,406569
100000,580.303,960.455,0.000290546,406673,406569
100000,583.586,960.455,0.000290546,406673,406569
100000,586.869,960.455,0.000290546,406673,406569
100000,590.152,960.455,0.000290546,406673,406569
100000,593.434,960.455,0.000290546,406673,406569
100000,596.717,960.455,0.000290546,406673,406569
100000,600,960.455,0.000290546,406673,406569
604040,275,1000.19,0.00168099,8368.56,7764.63
604040,278.283,1000.21,0.00151112,22177.9,21574
604040,281.566,1000.07,0.0013672,35962.9,35358.9
604040,284.848,999.771,0.00124408,49729.5,49125.3
604040,288.131,999.338,0.00113786,63481.9,62877.5
604040,291.414,998.779,0.0010455,77223.5,76618.7
604040,294.697,998.103,0.000964645,90956.6,90351.4
604040,297.98,997.318,0.000893413,104683,104078
604040,301.263,996.43,0.000830302,118405,117799
604040,304.545,995.446,0.000774095,132123,131516
604040,307.828,994.37,0.000723802,145839,145231
604040,311.111,993.208,0.000678603,159553,158945
604040,314.394,991.963,0.000637823,173266,172657
604040,317.677,990.639,0.000600893,186980,186370
604040,320.96,989.24,0.000567338,200695,200084
604040,324.242,987.768,0.000536752,214411,213800
