pressure, temperature,viscosity,density, enthalpy, internal_energy
1108080,472.222,0.000259422,964.68964,2819437.091,2615474.154
1108080,475,0.000258884,964.13404,2826388.987,2620829.826
1108080,477.778,0.000258362,963.57844,2833267.741,2626125.385
1108080,480.556,0.000257855,963.02284,2840081.041,2631367.454
1108080,483.333,0.000257363,962.46744,2846832.648,2636559.472
1108080,486.111,0.000256884,961.91184,2853532.505,2641709.508
1108080,488.889,0.000256419,961.35624,2860182.443,2646819.309
1108080,491.667,0.000255966,960.80064,2866786.127,2651891.964
1108080,494.444,0.000255525,960.24524,2873344.401,2656928.356
1108080,497.222,0.000255096,959.68964,2879864.826,2661934.484
1108080,500,0.000254678,959.13404,2886347.581,2666910.659
1108080,502.778,0.000254271,958.57844,2892794.985,2671858.811
1108080,505.556,0.000253874,958.02284,2899209.163,2676780.704
1108080,508.333,0.000253488,957.46744,2905589.783,2681676.209
1108080,511.111,0.000253111,956.91184,2911943.261,2686550.359
1108080,513.889,0.000252743,956.35624,2918268.992,2691402.793
1108080,516.667,0.000252384,955.80064,2924568.564,2696234.827
1108080,519.444,0.000252033,955.24524,2930841.212,2701045.962
1108080,522.222,0.000251691,954.68964,2937092.854,2705840.823
1108080,525,0.000251357,954.13404,2943322.547,2710618.765
1108080,527.778,0.00025103,953.57844,2949531.535,2715380.815
1108080,530.556,0.000250711,953.02284,2955720.992,2720127.943
1108080,533.333,0.0002504,952.46744,2961889.809,2724859.367
1108080,536.111,0.000250095,951.91184,2968043.478,2729579.359
1108080,538.889,0.000249797,951.35624,2974180.769,2734287.034
1108080,541.667,0.000249505,950.80064,2980302.622,2738983.169
1108080,544.444,0.00024922,950.24524,2986407.731,2743666.815
1108080,547.222,0.000248941,949.68964,2992501.339,2748342.041
1108080,550,0.000248668,949.13404,2998582.045,2753007.822
1612120,275,0.001,1004.38606,9384.89833,7773.899652
1612120,277.778,0.001,1003.83046,21059.84115,19448.87332
1612120,280.556,0.001,1003.27486,32717.60664,31106.47747
1612120,283.333,0.001,1002.71946,44357.63374,42746.16662
1612120,286.111,0.001,1002.16386,55991.10636,54379.1375
1612120,288.889,0.001,1001.60826,67616.01162,66003.38849
1612120,291.667,0.001,1001.05266,79234.06624,77620.64588
1612120,294.444,0.000912879,1000.49726,90842.46175,89228.10987
1612120,297.222,0.000775894,999.94166,102450.6727,100835.2615
1612120,300,0.00068203,999.38606,114055.4435,112438.8519
1612120,302.778,0.000614194,998.83046,125657.5609,124039.6731
1612120,305.556,0.00056313,998.27486,137257.7107,135638.4159
1612120,308.333,0.000523449,997.71946,148852.3305,147231.5228
1612120,311.111,0.000491784,997.16386,160450.331,158827.9071
1612120,313.889,0.000465984,996.60826,172048.0595,170423.9201
1612120,316.667,0.000444585,996.05266,183646.0127,182020.0615
1612120,319.444,0.000426575,995.49726,195240.4931,193612.6372
1612120,322.222,0.000411209,994.94166,206840.316,205210.4636
1612120,325,0.000397958,994.38606,218441.7625,216809.8245
1612120,327.778,0.00038642,993.83046,230045.2822,228411.1715
1612120,330.556,0.000376286,993.27486,241651.3202,240014.9516
1612120,333.333,0.000367321,992.71946,253256.1392,251617.4295
1612120,336.111,0.00035933,992.16386,264868.5363,263227.4023
1612120,338.889,0.000352167,991.60826,276484.7709,274841.1315
1612120,341.667,0.000345711,991.05266,288105.2795,286459.0544
1612120,344.444,0.000339865,990.49726,299726.3117,298077.4226
1612120,347.222,0.000334543,989.94166,311356.6716,309705.0392
1612120,350,0.000329681,989.38606,322992.6096,321338.156
1612120,352.778,0.000325222,988.83046,334634.5598,332977.2079
1612120,355.556,0.000321117,988.27486,346282.9569,344622.6299
